post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,sku,stock,regular_price,sale_price,stock_status,product_url,product_page_url
"PIES ELECTRICOS SPA",pies-electricos-spa,,51277,,,publish,,,12000,10000,instock,,https://www.lacopro.cl/producto/pies-electricos-spa/
"BIGUDIES SMALL",bigudies-small,,51279,,,publish,,,500,,instock,,https://www.lacopro.cl/producto/bigudies-small/
"BIGUDIE MEDIANO",bigudie-mediano,,51280,,,publish,,,500,,instock,,https://www.lacopro.cl/producto/bigudie-mediano/
"BIGUDIE LARGE",bigudie-large,,51281,,,publish,,6,500,,instock,,https://www.lacopro.cl/producto/bigudie-large/
"MITON TOALLA SPA",miton-toalla-spa,,51282,,,publish,,,2500,2000,instock,,https://www.lacopro.cl/producto/miton-toalla-spa/
"QUITA ESMALTE OLEOSO 1LT",quita-esmalte-oleoso-1lt,,51290,,,publish,,,4990,3990,instock,,https://www.lacopro.cl/producto/quita-esmalte-oleoso-1lt/
"LIMA PIE/FOOT RASP",lima-pie-foot-rasp,,51295,,,publish,,,2190,1689,instock,,https://www.lacopro.cl/producto/lima-pie-foot-rasp/
"ELIMINADOR DE CALLOS 29.5ML/1OZ CALLUS OFF",eliminador-de-callos-29-5ml-1oz-callous-off,,51313,"Eliminador de callos, funciona en 3 a 5 minutos.",,publish,,65,4800,,instock,,https://www.lacopro.cl/producto/eliminador-de-callos-29-5ml-1oz-callous-off/
"ELIMINADOR DE CUTICULAS 59ML/CUTICLE OFF GENA",eliminador-de-cuticulas-59ml-cuticle-off-gena,,51314,"Elimina la cutícula en segundos y hace el trabajo por usted. Elimina instantáneamente incluso el crecimiento más duro.",,publish,,3,6990,,instock,,https://www.lacopro.cl/producto/eliminador-de-cuticulas-59ml-cuticle-off-gena/
"VASOS PARA MANICURE 25 UNID",vasos-para-manicure-25-unid,,51317,"Vasos para manicure y líquidos o cremas, desechables, autoaislantes y de cómodo diseño.",,publish,,,3390,1000,instock,,https://www.lacopro.cl/producto/vasos-para-manicure-25-unid/
"QUICK TAN AUTOBRONCEANTE 170GR. BODY DRENCH",quick-tan-autobronceante-170gr-body-drench,,51326,"Spray autobronceante instantáneo, color mediano oscuro. Otorga un look natural bronceado durante todo el año. Fácil de aplicar, puedes ver tu tono en 3 a 5 minutos. Marca Body Drench, origen USA.",,publish,,52,12990,10000,instock,,https://www.lacopro.cl/producto/quick-tan-autobronceante-170gr-body-drench/
"ADHESIVO PESTAÑAS INDIVIDUALES TRANSPARENTE 3.5GR/ LASHTITE CLEAR",adhesivo-pestanas-individuales-transparente-3-5gr-lashtite-clear,,51328,"Adhesivo pestañas individuales transparente. Marca Ardell, origen USA.",,publish,074764650580,,3490,,instock,,https://www.lacopro.cl/producto/adhesivo-pestanas-individuales-transparente-3-5gr-lashtite-clear/
"POLVO DEFINICION CEJAS TAUPE 2.2GR. ARDELL",polvo-definicion-cejas-taupe-2-2gr-ardell,,51330,"Polvo definición cejas, color gris pardo suave, alta fijación, pigmentos concentrado para crear cejas naturales, sin brillo. Marca Ardell, origen USA",,publish,,,3990,,instock,,https://www.lacopro.cl/producto/polvo-definicion-cejas-taupe-2-2gr-ardell/
"POLVO DEFINICION CEJAS NEGRO SUAVE 2.2GR",polvo-definicion-cejas-negro-suave-2-2gr,,51378,"Polvo definición cejas, negro suave 2.2gr, alta fijación, pigmentos concentrados para lograr cejas naturales, sin brillo. Marca Ardell, USA",,publish,,,3990,,instock,,https://www.lacopro.cl/producto/polvo-definicion-cejas-negro-suave-2-2gr/
"POLVO DEFINICION CEJAS CAFE MEDIANO 2.2GR. ARDELL",polvo-definicion-cejas-cafe-mediano-2-2gr-ardell,,51379,"Polvo definición cejas, alta fijación, sin brillo, pigmentos concentrados para lograr cejas naturales. Marca Ardell, origen USA",,publish,,,3990,,instock,,https://www.lacopro.cl/producto/polvo-definicion-cejas-cafe-mediano-2-2gr-ardell/
"POLVO DEFINICION CEJAS CAFE OSCURO 2.2GR ARDELL",polvo-definicion-cejas-cafe-oscuro-2-2gr-ardell,,51380,"Polvo definición cejas, alta fijación, sin brillo, pigmentos concentrados para lograr un look natural. Marca Ardell , origen USA",,publish,,,3990,,instock,,https://www.lacopro.cl/producto/polvo-definicion-cejas-cafe-oscuro-2-2gr-ardell/
"MOLDE STENCIL CEJAS 4 MODELOS ARDELL",molde-stencil-cejas-4-modelos-ardell,,51382,"Molde cejas reutilizable, cuatro modelos, delicado, elegante, glamoroso y clásico. Marca Ardell, origen USA.",,publish,,7,4330,,instock,,https://www.lacopro.cl/producto/molde-stencil-cejas-4-modelos-ardell/
"WISPIES PESTAÑA DE TIRA ARDELL",wispies-pestana-de-tira-ardell,,51387,,,publish,,72,3490,,instock,,https://www.lacopro.cl/producto/wispies-pestana-de-tira-ardell/
"SEXIES PESTAÑA DE TIRA ARDELL",sexies-pestana-de-tira-ardell,,51388,,,publish,,48,3490,,instock,,https://www.lacopro.cl/producto/sexies-pestana-de-tira-ardell/
"FUN PESTAÑA DE TIRA ARDELL",fun-pestana-de-tira-ardell,,51390,,,publish,,,3490,,instock,,https://www.lacopro.cl/producto/fun-pestana-de-tira-ardell/
"REFECTOCIL TINTURA PESTAÑAS Y CEJAS NEGRA N°1 BLACK 15ML",tintura-pestanas-y-cejas-negra-refectocil-n1-black-15ml,,51415,"Tinte para pestañas, cejas, barba y patillas. Producto diseñado especialmente para esos vellos, asegurando su perfecta coloración, duración y acondicionamiento. Marca Refectocil, origen Austria.",,publish,9003877057109,60,12950,11900,instock,,https://www.lacopro.cl/producto/tintura-pestanas-y-cejas-negra-refectocil-n1-black-15ml/
"REFECTOCIL PETALOS PROTECTORES PAPEL",petalos-protectores-papel-refectocil,,51421,,,publish,,2,10000,7000,instock,,https://www.lacopro.cl/producto/petalos-protectores-papel-refectocil/
"MOLDES 3D",moldes-3d,,51435,"Molde silicona para decoraciones en 3D, apto para acrílico y gel.",,publish,,,2490,,instock,,https://www.lacopro.cl/producto/moldes-3d/
"STENCIL DISEÑO X 4 UNIDADES",stencil-diseno-x-4-unidades,,51437,,,publish,,,2000,,instock,,https://www.lacopro.cl/producto/stencil-diseno-x-4-unidades/
"BASE ESMALTADO GEL PROGEL 80304 SUPERNAIL 14ML",base-esmaltado-gel-progel-supernail-14ml,,51524,"Capa base Progel, crea una base tersa y uniforme para una aplicación impecable. Aplicar una capa delgada de Base Progel, cure bajo la lámpara LED por 30 segundos, y 1 minuto en la UV. Marca Supernail, origen USA",,publish,073930803041,102,11990,,instock,,https://www.lacopro.cl/producto/base-esmaltado-gel-progel-supernail-14ml/
"ADHESIVO SUPERBOND 80305 SUPERNAIL 14ML",adhesivo-superbond-supernail-14ml,,51525,"Adhesivo que maximiza la adherencia del del. Marca Supernail, origen USA.",,publish,073930803058,63,11990,,instock,,https://www.lacopro.cl/producto/adhesivo-superbond-supernail-14ml/
"TOP ESMALTADO GEL PROGEL 80306",top-esmaltado-gel-progel-supernail-14ml,,51526,"Aplíquelo sobre el color del gel para un acabado superfuerte y brillante.Cure bajo la lámpara LED por 30 segundos, en la lámpara UV durante 2 minutos. Marca Supernail, origen USA.",,publish,073930803065,143,11990,,instock,,https://www.lacopro.cl/producto/top-esmaltado-gel-progel-supernail-14ml/
"TOP MATTE PROGEL SUPERNAIL 14ML",top-matte-progel-supernail-14ml,,51527,"Capa superior Progel, hazlo Matte. Especial para dar a alas uñas un aspecto más moderno y acabado mate de última tendencia cuando se aplica sobre cualquier esmalte gel. Reinventa cualquier  color de esmalte gel con un efecto mate. Ofrece uñas sin descascarar, que duran semanas.",,publish,073930801870,2,11990,,instock,,https://www.lacopro.cl/producto/top-matte-progel-supernail-14ml/
"OBSIDIAN PROGEL 80125",obsidian-progel-14ml,,51528,,,publish,073930801252,51,11990,5000,instock,,https://www.lacopro.cl/producto/obsidian-progel-14ml/
"BALTIC PROGEL 80123",baltic-progel-14ml,,51530,,,publish,073930801238,41,11990,5000,instock,,https://www.lacopro.cl/producto/baltic-progel-14ml/
"BLUE GRANITE PROGEL 80122",blue-granite-progel-14ml,,51531,,,publish,073930801221,3,11990,5000,instock,,https://www.lacopro.cl/producto/blue-granite-progel-14ml/
"CITY LIGHTS PROGEL 80121",city-lights-progel-14ml,,51532,,,publish,073930801214,24,11990,5000,instock,,https://www.lacopro.cl/producto/city-lights-progel-14ml/
"ROMAN RED PROGEL 80120",roman-red-progel-14ml,,51533,,,publish,073930801207,11,11990,5000,instock,,https://www.lacopro.cl/producto/roman-red-progel-14ml/
"PURPLE PLUME PROGEL 80118",purple-plume-14ml,,51536,,,publish,073930801184,27,11990,5000,instock,,https://www.lacopro.cl/producto/purple-plume-14ml/
"LOTUS BLOSSOM PROGEL 80117",lotus-blossom-14ml,,51537,,,publish,073930801177,23,11990,5000,instock,,https://www.lacopro.cl/producto/lotus-blossom-14ml/
"MULLING SPICE PROGEL 80116",mulling-spice-14ml,,51540,,,publish,073930801160,25,11990,5000,instock,,https://www.lacopro.cl/producto/mulling-spice-14ml/
"RUBY SCEPTER PROGEL 80114",ruby-scepter-14ml,,51542,,,publish,073930801146,63,11990,5000,instock,,https://www.lacopro.cl/producto/ruby-scepter-14ml/
"ALOHA PUNCH PROGEL 80113",aloha-punch-14ml,,51543,,,publish,073930801139,17,11990,5000,instock,,https://www.lacopro.cl/producto/aloha-punch-14ml/
"LILAC FROST PROGEL 80108",lilac-frost-14ml,,51545,,,publish,073930801085,88,11990,5000,instock,,https://www.lacopro.cl/producto/lilac-frost-14ml/
"TOFFEE BUTTER PROGEL 80107",toffee-butter-14ml,,51546,,,publish,073930801078,115,11990,5000,instock,,https://www.lacopro.cl/producto/toffee-butter-14ml/
"SILVER DOLLAR14ML PROGEL 80105",silver-dollar-14ml,,51547,,,publish,073930801054,24,11990,5000,instock,,https://www.lacopro.cl/producto/silver-dollar-14ml/
"REPUJADOR PLASTICO/ NO STICK",repujador-plastico-no-stick,,51551,,,publish,,,250,,instock,,https://www.lacopro.cl/producto/repujador-plastico-no-stick/
"PATA CABRA 4UNID.",pata-cabra-4unid,,51553,,,publish,,,1000,,instock,,https://www.lacopro.cl/producto/pata-cabra-4unid/
"PALOS MODELADORES DISEÑO 5 UNID",palos-modeladores-diseno-5-unid,,51556,,,publish,,,3500,1000,instock,,https://www.lacopro.cl/producto/palos-modeladores-diseno-5-unid/
"WYPALL X70",wypall-70-plus,,51565,"Papel con gran poder de limpieza, sustituye trapos, paños y toallas. Alta absorción. 88 hojas de 28cmx41,5cm",,publish,7702425547360,1,11000,,instock,,https://www.lacopro.cl/producto/wypall-70-plus/
"VASO VIDRIO",vaso-vidrio,,51567,,,publish,,9,850,,instock,,https://www.lacopro.cl/producto/vaso-vidrio/
"REMOJADOR DEDOS/ SOAKERS 10 UNID",remojador-dedos-soakers-10-unid,,51579,,,publish,,1,3480,,instock,,https://www.lacopro.cl/producto/remojador-dedos-soakers-10-unid/
"MOSTRARIO RUEDA",mostrario-rueda,,51582,,,publish,,6,500,,instock,,https://www.lacopro.cl/producto/mostrario-rueda/
"PRIMER/NAIL PRIMER 7ML",primer-nail-primer-7ml,,51588,,,publish,,127,5990,,instock,,https://www.lacopro.cl/producto/primer-nail-primer-7ml/
"COVER COOL PINK 56GR",cover-cool-pink-56gr,,51612,,,publish,,17,16680,8340,instock,,https://www.lacopro.cl/producto/cover-cool-pink-56gr/
"LIMA METAL",lima-metal,,51724,,,publish,,,200,,instock,,https://www.lacopro.cl/producto/lima-metal/
"POLVO ACRILICO TRANSPARENTE 56GR/CLEAR POWDER",polvo-acrilico-trasnparente-56gr-clear-powder,,51729,,,publish,073930514008,16,10490,5245,instock,,https://www.lacopro.cl/producto/polvo-acrilico-trasnparente-56gr-clear-powder/
"POLVO ACRILICO TRANSPARENTE 21GR/CLEAR POWDER",polvo-acrilico-transparente-21gr-clear-powder,,51730,,,publish,7393051116,55,6290,3145,instock,,https://www.lacopro.cl/producto/polvo-acrilico-transparente-21gr-clear-powder/
"POLVO ACRILICO ROSADO 113GR/PINK POWDER",polvo-acrilico-rosado-113gr-pink-powder,,51731,,,publish,073930514206,42,19500,9750,instock,,https://www.lacopro.cl/producto/polvo-acrilico-rosado-113gr-pink-powder/
"POLVO ACRILICO ROSADO 56GR/PINK POWDER",polvo-acrilico-rosado-56gr-pink-powder,,51732,,,publish,073930514053,42,10490,5245,instock,,https://www.lacopro.cl/producto/polvo-acrilico-rosado-56gr-pink-powder/
"POLVO ACRILICO ROSADO 21GR/PINK POWDER",polvo-acrilico-rosado-21gr-pink-powder,,51733,,,publish,073930511182,16,6290,3145,instock,,https://www.lacopro.cl/producto/polvo-acrilico-rosado-21gr-pink-powder/
"POLVO ACRILICO BLANCO 113GR/WHITE POWDER",polvo-acrilico-blanco-113gr-white-powder,,51734,,,publish,073930514251,33,19500,9750,instock,,https://www.lacopro.cl/producto/polvo-acrilico-blanco-113gr-white-powder/
"POLVO ACRILICO BLANCO 21GR/WHITE POWDER",polvo-acrilico-blanco-21gr-white-powder,,51736,,,publish,073930511175,18,6290,3145,instock,,https://www.lacopro.cl/producto/polvo-acrilico-blanco-21gr-white-powder/
"AUBERGINE PROGEL 80280",aubergine-progel-80280,,51762,,,publish,073930802808,30,11990,5000,instock,,https://www.lacopro.cl/producto/aubergine-progel-80280/
"TROPHY CUP PROGEL 80102",trophy-cup-progel-80102,,51827,,,publish,073930801023,24,11990,5000,instock,,https://www.lacopro.cl/producto/trophy-cup-progel-80102/
"SWEET AS PIE PROGEL 81453",sweet-as-pie-progel-81453,,51828,,,publish,073930814535,2,11990,5000,instock,,https://www.lacopro.cl/producto/sweet-as-pie-progel-81453/
"SUMMER FLING PROGEL 81910",summer-fling-progel-81909,,51829,,,publish,073930819103,33,11990,5000,instock,,https://www.lacopro.cl/producto/summer-fling-progel-81909/
"SUMMER CRUSH PROGEL 80142",summer-crush-progel-80142,,51830,,,publish,073930801429,36,11990,5000,instock,,https://www.lacopro.cl/producto/summer-crush-progel-80142/
"SPICED SUGAR PROGEL 80302",spiced-sugar-progel-80302,,51831,,,publish,073930803027,45,11990,8000,instock,,https://www.lacopro.cl/producto/spiced-sugar-progel-80302/
"SO ROMANTIC PROGEL 80300",so-romantic-progel-80300,,51832,,,publish,073930803003,44,11990,5000,instock,,https://www.lacopro.cl/producto/so-romantic-progel-80300/
"SEA OF CAPRI PROGEL 80299",sea-of-capri-progel-80299,,51834,,,publish,073930802990,25,8000,5000,instock,,https://www.lacopro.cl/producto/sea-of-capri-progel-80299/
"SEA FOAM PROGEL 80298",sea-foam-progel-80298,,51835,,,publish,073930802983,10,8000,5000,instock,,https://www.lacopro.cl/producto/sea-foam-progel-80298/
"RAW INDIGO PROGEL 82798",raw-indigo-progel-82798,,51837,,,publish,073930827986,8,8000,5000,instock,,https://www.lacopro.cl/producto/raw-indigo-progel-82798/
"POPPY PROGEL 80297",poppy-progel-80297,,51838,,,publish,073930802976,93,8000,5000,instock,,https://www.lacopro.cl/producto/poppy-progel-80297/
"PLUM POTION PROGEL 80296",olum-potion-progel-80296,,51839,,,publish,073930802969,33,8000,5000,instock,,https://www.lacopro.cl/producto/olum-potion-progel-80296/
"PIROUETTE PROGEL 81405",pirouette-progel-81405,,51840,,,publish,073930814054,32,8000,5000,instock,,https://www.lacopro.cl/producto/pirouette-progel-81405/
"PINK PORCELAIN PROGEL 80156",pink-porcelain-progel-80156,,51841,,,publish,073930801566,19,8000,5000,instock,,https://www.lacopro.cl/producto/pink-porcelain-progel-80156/
"PINK DAHLIA PROGEL 80295",pink-dahlia-progel-80295,,51842,,,publish,073930802952,29,8000,5000,instock,,https://www.lacopro.cl/producto/pink-dahlia-progel-80295/
"PARIS ROSE PROGEL 80294",paris-rose-progel-80294,,51844,,,publish,073930802945,7,8000,5000,instock,,https://www.lacopro.cl/producto/paris-rose-progel-80294/
"PA-PA-YA OVER YOU PROGEL 82809",pa-pa-ya-over-you-progel-82809,,51845,,,publish,073930828099,13,8000,5000,instock,,https://www.lacopro.cl/producto/pa-pa-ya-over-you-progel-82809/
"NAPA HARVEST PROGEL 80147",napa-harvest-progel-80147,,51846,,,publish,073930801474,31,8000,5000,instock,,https://www.lacopro.cl/producto/napa-harvest-progel-80147/
"MANGO TANGO PROGEL 81411",mango-tango-progel-81411,,51847,,,publish,073930814115,24,8000,5000,instock,,https://www.lacopro.cl/producto/mango-tango-progel-81411/
"MALBEC PROGEL 80293",malbec-progel-80293,,51848,,,publish,073930802938,108,8000,5000,instock,,https://www.lacopro.cl/producto/malbec-progel-80293/
"LOVE-Y DOVE-Y PROGEL 82808",love-y-dove-y-progel-82808,,51849,,,publish,073930828082,33,8000,5000,instock,,https://www.lacopro.cl/producto/love-y-dove-y-progel-82808/
"LIPSTICK KISSES PROGEL 81408",lipstick-kisses-progel-81408,,51850,,,publish,073930814085,18,8000,5000,instock,,https://www.lacopro.cl/producto/lipstick-kisses-progel-81408/
"LIFE GUARD ON DUTY PROGEL 81911",life-guard-on-duty-progel-81911,,51851,,,publish,073930819110,5,8000,5000,instock,,https://www.lacopro.cl/producto/life-guard-on-duty-progel-81911/
"LICKITY LIME PROGEL 81965",lickity-lime-progel-81965,,51852,,,publish,073930819653,8,8000,5000,instock,,https://www.lacopro.cl/producto/lickity-lime-progel-81965/
"LAVENDER BOUQUET PROGEL 80150",lavender-bouquet-progel-80150,,51853,,,publish,073930801504,24,8000,5000,instock,,https://www.lacopro.cl/producto/lavender-bouquet-progel-80150/
"ITALIAN MELON PROGEL 80111",italian-melon-progel-80111,,51855,,,publish,073930801115,7,8000,5000,instock,,https://www.lacopro.cl/producto/italian-melon-progel-80111/
"HONEY DEWY PROGEL 82810",honey-dewy-progel-82810,,51856,,,publish,073930828105,8,8000,5000,instock,,https://www.lacopro.cl/producto/honey-dewy-progel-82810/
"GLOWING AURA PROGEL 80291",glowing-aura-progel-80291,,51857,,,publish,073930802914,8,8000,5000,instock,,https://www.lacopro.cl/producto/glowing-aura-progel-80291/
"GARGOYLE PROGEL 80290",gargoyle-progel-80290,,51858,,,publish,073930802907,10,8000,5000,instock,,https://www.lacopro.cl/producto/gargoyle-progel-80290/
"DEEP ABYSS PROGEL 80288",deep-abyss-progel-80288,,51860,,,publish,073930802884,1,8000,5000,instock,,https://www.lacopro.cl/producto/deep-abyss-progel-80288/
"CUPIDS ARROW PROGEL 80158",cupids-arrow-progel-80158,,51861,,,publish,073930801580,7,8000,5000,instock,,https://www.lacopro.cl/producto/cupids-arrow-progel-80158/
"CONFETTI CAKE PROGEL 81454",confetti-cake-progel-81454,,51863,,,publish,073930814542,18,8000,5000,instock,,https://www.lacopro.cl/producto/confetti-cake-progel-81454/
"CHERRY BLOOM PROGEL 80285",cherry-bloom-progel-80285,,51866,,,publish,073930802853,55,8000,5000,instock,,https://www.lacopro.cl/producto/cherry-bloom-progel-80285/
"CAMEO CORAL PROGEL 80112",cameo-coral-progel-80112,,51870,,,publish,073930801122,13,8000,5000,instock,,https://www.lacopro.cl/producto/cameo-coral-progel-80112/
"CADET GREY PROGEL 80284",cadet-grey-progel-80284,,51871,,,publish,073930802846,20,8000,5000,instock,,https://www.lacopro.cl/producto/cadet-grey-progel-80284/
"CACTUS FLOWER PROGEL 80283",cactus-flower-progel-80283,,51873,,,publish,073930802839,10,8000,5000,instock,,https://www.lacopro.cl/producto/cactus-flower-progel-80283/
"BUSY BEE PROGEL 81416",busy-bee-progel-81416,,51874,,,publish,073930814160,23,8000,5000,instock,,https://www.lacopro.cl/producto/busy-bee-progel-81416/
"BRONZE MEDAL PROGEL 80103",bronze-medal-progel-80103,,51875,,,publish,073930801030,18,8000,5000,instock,,https://www.lacopro.cl/producto/bronze-medal-progel-80103/
"BRIAR ROSE PROGEL 80282",briar-rose-progel-80282,,51876,,,publish,073930802822,91,8000,5000,instock,,https://www.lacopro.cl/producto/briar-rose-progel-80282/
"BERRY SHAKE PROGEL 80109",berry-shake-progel-80109,,51878,,,publish,073930801092,4,8000,5000,instock,,https://www.lacopro.cl/producto/berry-shake-progel-80109/
"CHILLI PEPPER PROGEL 80144",chilli-pepper-progel-80144,,51879,,,publish,073930801443,15,8000,5000,instock,,https://www.lacopro.cl/producto/chilli-pepper-progel-80144/
"BEACHY PINK PROGEL 80281",beachy-pink-progel-80281,,51883,,,publish,073930802815,35,8000,5000,instock,,https://www.lacopro.cl/producto/beachy-pink-progel-80281/
"BERMUDA SHELL PROGEL 81406",bermuda-shell-progel-81406,,51884,,,publish,073930814061,20,8000,5000,instock,,https://www.lacopro.cl/producto/bermuda-shell-progel-81406/
"BEACHCOMBER PROGEL 81909",beachcomber-progel-81909,,51885,,,publish,073930819097,16,8000,5000,instock,,https://www.lacopro.cl/producto/beachcomber-progel-81909/
"DREAMSICLE CREAMSICLE PROGEL 81912",dreamsicle-creamsicle-progel-81914,,51892,,,publish,073930819127,9,8000,5000,instock,,https://www.lacopro.cl/producto/dreamsicle-creamsicle-progel-81914/
"SEA BREEZE PROGEL 81914",sea-breeze-progel-81912,,51893,,,publish,073930819141,17,8000,5000,instock,,https://www.lacopro.cl/producto/sea-breeze-progel-81912/
"PAINT ME SOME SUN PROGEL 81916",paint-me-some-sun-progel-81916,,51894,,,publish,073930819165,15,8000,5000,instock,,https://www.lacopro.cl/producto/paint-me-some-sun-progel-81916/
"MINT ME IN MAUI PROGEL 81964",mint-me-in-maui-progel-81964,,51895,,,publish,073930819646,15,8000,5000,instock,,https://www.lacopro.cl/producto/mint-me-in-maui-progel-81964/
"MAGENTA ME WILD PROGEL 81967",magenta-me-wild-progel-81967,,51896,,,publish,073930819677,18,8000,5000,instock,,https://www.lacopro.cl/producto/magenta-me-wild-progel-81967/
"LA LA LOVENDER PROGEL 82811",la-la-lovender-progel-82811,,51897,,,publish,073930828112,25,11990,5000,instock,,https://www.lacopro.cl/producto/la-la-lovender-progel-82811/
"AGUJAS MICROIMPLANTACIÓN 1 PUNTA X 10 UNID",agujas-microimplantacion-1-punta-x-10-unid,,51899,,,publish,,,7500,,instock,,https://www.lacopro.cl/producto/agujas-microimplantacion-1-punta-x-10-unid/
"AGUJA MICROIMPLANTACIÓN 2 PUNTAS X 10 UNID",aguja-microimplantacion-2-puntas-x-10-unid,,51900,,,publish,,,22000,,instock,,https://www.lacopro.cl/producto/aguja-microimplantacion-2-puntas-x-10-unid/
"AGUJA DELINEADO 3 PUNTAS X 10 UNID",aguja-delineado-3-puntas-x-10-unid,,51901,,,publish,,,27000,,instock,,https://www.lacopro.cl/producto/aguja-delineado-3-puntas-x-10-unid/
"AGUJA MICROIMPLANTACION 5 PUNTAS X 10 UNID.",aguja-microimplantacion-5-puntas-x-10-unid,,51902,,,publish,,,31000,,instock,,https://www.lacopro.cl/producto/aguja-microimplantacion-5-puntas-x-10-unid/
"CABEZA DE AGUJA X 10 UNID",cabeza-de-aguja-x-10-unid,,51904,,,publish,,,7900,,instock,,https://www.lacopro.cl/producto/cabeza-de-aguja-x-10-unid/
"TUBO DE TRANSMISION X 10 UNID",tubo-de-transmision-x-10-unid,,51905,,,publish,,,7900,,instock,,https://www.lacopro.cl/producto/tubo-de-transmision-x-10-unid/
"FUNGI- CIDE 29ML",fungi-cide-29ml,,51914,"Para el tratamiento eficaz de infecciones comunes de hongos, incluyendo tinea corpus y tiena pedis, que ocurren en los dedos de pies y manos. Funbgicide aliva el prurito, el ardor y la irritación provocados por el hongo. Fungicide, no provocará el desprendimiento de uñas artificiales. Antifúngico de los pies y manos, apto para dedos y uñas.",,publish,,52,8950,5000,instock,,https://www.lacopro.cl/producto/fungi-cide-29ml/
"SUPERVIZOR 14ML",supervizor-14ml,,51915,"Abrillanta y blanquea. Sella y protege las uñas artificiales contra el amarillamiento por rayos UV. Para uso en uñas acrílicas y gel.",,publish,073930319924,46,7500,,instock,,https://www.lacopro.cl/producto/supervizor-14ml/
"RAPID SEAL LED/UV 14ML",rapid-seal-led-uv-14ml,,51916,"Aplique una capa delgada de sellante LED/UV sobre gel y acrilico , cure bajo la lampara LED 30 seg o una UV por 30 seg. No es necesario limpiar.",,publish,073930801801,24,11990,,instock,,https://www.lacopro.cl/producto/rapid-seal-led-uv-14ml/
"UV TOP COAT 14 ML",uv-top-coat-14-ml,,51917,"Exponer a luz UV 3 minutos.",,publish,073930634416,35,9500,,instock,,https://www.lacopro.cl/producto/uv-top-coat-14-ml/
"LED/UV BUIDER GEL WHITE 56 GR/ GEL CONSTRUCTOR BLANCO.",led-uv-buider-gel-white-56-gr-gel-constructor-blanco,,51920,"Curar 1 minuto en luz LED y 4 minutos en luz UV.",,publish,,10,40720,,instock,,https://www.lacopro.cl/producto/led-uv-buider-gel-white-56-gr-gel-constructor-blanco/
"LED/UV BUILDER GEL PINK/GEL CONSTRUCTOR ROSADO",led-uv-builder-gel-pink-gel-constructor-rosado,,51922,"Curar 1 minuto lampara LED y 3 minutos luz UV.",,publish,,4,40720,,instock,,https://www.lacopro.cl/producto/led-uv-builder-gel-pink-gel-constructor-rosado/
"LED/UV CLEAR GEL 56GR/ GEL TRANSPARENTE",led-uv-clear-gel-56gr-gel-transparente,,51925,"Curar 30 seg luz LED y 1 minuto UV",,publish,,7,40720,,instock,,https://www.lacopro.cl/producto/led-uv-clear-gel-56gr-gel-transparente/
